pickup_location,destination,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance_km,duration_minutes,traffic_level,weather_condition,transport_type,pickup_hour,is_weekend,fare_ngn
Berger,Ikeja,6.642,3.343,6.6018,3.3515,5.29,8.4,low,sunny,uber,16,0,1889.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,5.24,19.5,heavy,cloudy,brt,15,0,646.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,21.39,67.5,heavy,sunny,bolt,22,0,8176.0
Ajah,CMS (Marina),6.4683,3.6015,6.4549,3.3886,31.37,124.7,heavy,cloudy,taxi,9,0,10486.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,32.32,54.7,low,sunny,taxi,3,0,6603.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,35.47,83.4,moderate,sunny,bolt,21,0,10306.0
Maryland,Oshodi,6.5783,3.3676,6.5489,3.3286,6.62,17.3,moderate,thunderstorm,keke,13,0,1493.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,13.54,38.2,moderate,sunny,uber,13,0,4254.0
Ikoyi,Berger,6.4541,3.435,6.642,3.343,29.92,54.5,low,rainy,uber,16,1,8826.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.54,30.1,heavy,sunny,taxi,15,0,3883.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,21.75,80.9,heavy,sunny,brt,15,0,2152.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,38.82,108.3,moderate,thunderstorm,bolt,7,0,15212.0
Ikeja,Berger,6.6018,3.3515,6.642,3.343,5.66,13.8,moderate,sunny,danfo,6,0,743.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,6.16,11.3,low,sunny,uber,3,0,1952.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,19.2,60.8,heavy,thunderstorm,bolt,13,0,8669.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,16.8,44.1,moderate,thunderstorm,danfo,11,0,1896.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,36.26,57.3,low,sunny,brt,14,0,1579.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,40.89,128.1,heavy,sunny,uber,21,1,15943.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,3.9,13.3,heavy,sunny,taxi,19,0,1894.0
Ikeja,Murtala Muhammed Airport,6.6018,3.3515,6.5774,3.3212,5.48,17.5,heavy,sunny,uber,13,0,2481.0
Surulere,Ikeja,6.4969,3.355,6.6018,3.3515,14.97,27.3,low,cloudy,brt,0,0,761.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.19,22.6,gridlock,sunny,keke,10,1,1528.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,7.29,14.9,low,sunny,keke,13,0,998.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,9.56,15.2,low,thunderstorm,brt,6,0,814.0
Ikoyi,Ikeja,6.4541,3.435,6.6018,3.3515,26.98,50.2,low,cloudy,brt,10,1,1376.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,30.94,58.4,low,sunny,uber,8,0,7517.0
Victoria Island,Ojota,6.4281,3.4219,6.582,3.388,25.39,42.6,low,sunny,taxi,21,1,5498.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,24.15,153.4,gridlock,rainy,brt,15,0,3816.0
Yaba,Lekki,6.5158,3.3892,6.4474,3.5562,23.64,77.6,heavy,sunny,taxi,7,1,9267.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,32.95,55.5,low,sunny,taxi,0,0,6524.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,24.17,48.3,low,sunny,brt,19,0,1185.0
Maryland,Yaba,6.5783,3.3676,6.5158,3.3892,9.4,25.7,moderate,rainy,taxi,18,1,3619.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,43.4,306.7,gridlock,rainy,keke,7,0,17307.0
Ikoyi,Murtala Muhammed Airport,6.4541,3.435,6.5774,3.3212,22.39,82.2,heavy,sunny,uber,16,0,10379.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,26.59,47.3,low,rainy,keke,8,0,4228.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,22.78,149.3,gridlock,sunny,taxi,10,0,10755.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,26.43,45.5,low,cloudy,uber,17,1,6860.0
Ojota,Surulere,6.582,3.388,6.4969,3.355,12.44,34.1,moderate,cloudy,danfo,15,0,1434.0
Ikoyi,Ikeja,6.4541,3.435,6.6018,3.3515,27.02,84.4,heavy,cloudy,uber,19,0,9367.0
Ikoyi,Oshodi,6.4541,3.435,6.5489,3.3286,19.56,34.0,low,cloudy,bolt,16,0,4956.0
Maryland,Murtala Muhammed Airport,6.5783,3.3676,6.5774,3.3212,6.36,16.7,moderate,cloudy,bolt,11,0,2261.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,14.86,38.7,moderate,cloudy,taxi,4,0,4296.0
Surulere,Yaba,6.4969,3.355,6.5158,3.3892,5.0,33.9,gridlock,cloudy,bolt,11,0,3748.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.11,15.4,heavy,sunny,bolt,16,0,2480.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,16.16,36.3,moderate,rainy,taxi,5,0,4648.0
Ojota,Ajah,6.582,3.388,6.4683,3.6015,38.4,134.6,heavy,rainy,keke,18,0,9319.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,5.81,22.0,heavy,sunny,bolt,12,0,2554.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,28.2,88.9,heavy,sunny,uber,9,1,9608.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,24.24,42.3,low,rainy,keke,16,0,3967.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,19.58,54.9,moderate,sunny,uber,18,0,6888.0
Ojota,Surulere,6.582,3.388,6.4969,3.355,13.15,31.6,moderate,sunny,uber,15,0,4857.0
Yaba,Ojota,6.5158,3.3892,6.582,3.388,9.65,21.4,moderate,cloudy,keke,10,0,1492.0
Ajah,Surulere,6.4683,3.6015,6.4969,3.355,35.27,132.3,heavy,sunny,uber,18,0,15286.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,6.3,12.8,low,sunny,uber,1,0,2236.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,8.99,28.9,heavy,cloudy,keke,15,0,2302.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,14.66,79.8,gridlock,sunny,bolt,8,0,9762.0
Surulere,Ikeja,6.4969,3.355,6.6018,3.3515,15.49,26.3,low,cloudy,danfo,15,0,1461.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,36.55,56.6,low,cloudy,uber,10,0,7931.0
Berger,Victoria Island,6.642,3.343,6.4281,3.4219,34.51,64.8,low,cloudy,keke,14,0,4053.0
Oshodi,Ojota,6.5489,3.3286,6.582,3.388,9.26,35.9,heavy,sunny,bolt,7,0,4720.0
Ajah,Murtala Muhammed Airport,6.4683,3.6015,6.5774,3.3212,43.18,84.3,low,sunny,uber,8,0,10600.0
Murtala Muhammed Airport,Maryland,6.5774,3.3212,6.5783,3.3676,7.35,13.4,low,sunny,taxi,7,0,2090.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,18.29,48.2,moderate,sunny,bolt,9,0,5003.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,6.76,15.7,moderate,sunny,danfo,15,0,864.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,14.92,53.6,heavy,sunny,bolt,16,0,6925.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,28.82,48.5,low,cloudy,uber,22,0,7481.0
Berger,Victoria Island,6.642,3.343,6.4281,3.4219,29.91,74.1,moderate,cloudy,taxi,6,0,8464.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,24.44,77.0,heavy,sunny,brt,13,1,1834.0
CMS (Marina),Ikoyi,6.4549,3.3886,6.4541,3.435,6.83,12.1,low,cloudy,brt,11,0,418.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,10.64,61.5,gridlock,sunny,taxi,15,1,6825.0
Yaba,Murtala Muhammed Airport,6.5158,3.3892,6.5774,3.3212,12.94,30.1,moderate,sunny,danfo,15,1,1443.0
Surulere,Lekki,6.4969,3.355,6.4474,3.5562,31.75,73.1,moderate,rainy,danfo,5,0,3195.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,12.18,34.4,moderate,rainy,uber,11,1,4613.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,33.35,58.9,low,sunny,keke,8,0,4410.0
Berger,Ojota,6.642,3.343,6.582,3.388,11.03,64.9,gridlock,cloudy,taxi,1,1,7029.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,28.92,89.4,heavy,cloudy,keke,9,0,5115.0
Yaba,Ajah,6.5158,3.3892,6.4683,3.6015,30.62,84.1,moderate,thunderstorm,keke,13,1,5801.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,26.55,90.6,heavy,cloudy,taxi,6,0,9980.0
Victoria Island,Murtala Muhammed Airport,6.4281,3.4219,6.5774,3.3212,24.2,48.3,low,sunny,brt,12,0,1253.0
Oshodi,Yaba,6.5489,3.3286,6.5158,3.3892,9.5,27.3,moderate,sunny,taxi,20,0,2826.0
Victoria Island,Oshodi,6.4281,3.4219,6.5489,3.3286,20.95,60.0,moderate,rainy,danfo,7,0,2529.0
Ojota,Maryland,6.582,3.388,6.5783,3.3676,3.15,11.9,heavy,sunny,bolt,10,0,1723.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,38.62,218.9,gridlock,cloudy,brt,13,0,4359.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.62,28.2,gridlock,sunny,bolt,18,0,3998.0
Oshodi,Ikoyi,6.5489,3.3286,6.4541,3.435,19.99,63.0,heavy,cloudy,danfo,22,0,2261.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,24.57,48.9,low,sunny,keke,22,1,3275.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,36.34,68.7,low,sunny,danfo,13,1,2815.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,20.6,34.8,low,cloudy,taxi,7,0,4933.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,8.22,19.7,moderate,sunny,danfo,2,0,800.0
Maryland,Ikoyi,6.5783,3.3676,6.4541,3.435,20.71,41.2,low,sunny,bolt,14,0,4561.0
Surulere,Victoria Island,6.4969,3.355,6.4281,3.4219,14.27,39.1,moderate,sunny,keke,19,0,2127.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,33.18,109.6,heavy,cloudy,keke,23,0,6190.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,33.15,87.3,moderate,thunderstorm,danfo,8,0,4544.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,10.16,38.6,heavy,sunny,uber,7,1,5528.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,14.18,51.7,heavy,rainy,bolt,8,1,7396.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,14.84,46.5,heavy,sunny,uber,13,0,5768.0
Yaba,Lekki,6.5158,3.3892,6.4474,3.5562,28.42,198.0,gridlock,sunny,keke,17,1,11502.0
Surulere,Berger,6.4969,3.355,6.642,3.343,22.13,134.1,gridlock,rainy,keke,17,0,8272.0
Ajah,Berger,6.4683,3.6015,6.642,3.343,47.39,134.5,moderate,rainy,uber,4,0,16839.0
Maryland,Ajah,6.5783,3.3676,6.4683,3.6015,40.73,141.1,heavy,cloudy,bolt,15,0,15750.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,43.05,69.4,low,rainy,taxi,11,0,8895.0
Ikoyi,Ojota,6.4541,3.435,6.582,3.388,20.78,79.7,heavy,cloudy,bolt,14,0,7604.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,6.8,12.4,low,cloudy,uber,23,0,2185.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,24.52,74.1,heavy,cloudy,bolt,17,1,10408.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,3.83,14.5,heavy,sunny,bolt,17,0,2585.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,8.89,14.3,low,rainy,bolt,9,1,2413.0
Lekki,Murtala Muhammed Airport,6.4474,3.5562,6.5774,3.3212,35.3,88.4,moderate,rainy,keke,17,0,6782.0
Surulere,Ojota,6.4969,3.355,6.582,3.388,11.79,33.7,moderate,cloudy,danfo,2,0,1190.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,28.39,52.7,low,sunny,keke,2,0,3347.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,39.77,103.2,moderate,cloudy,brt,4,0,2438.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,19.01,46.7,moderate,rainy,bolt,18,0,6515.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,24.92,155.8,gridlock,cloudy,uber,4,0,15606.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,43.83,80.3,low,thunderstorm,brt,15,1,3323.0
CMS (Marina),Ikoyi,6.4549,3.3886,6.4541,3.435,7.23,12.3,low,sunny,danfo,4,1,664.0
Surulere,Ikeja,6.4969,3.355,6.6018,3.3515,14.65,37.7,moderate,rainy,brt,17,0,1276.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,28.19,165.8,gridlock,rainy,brt,6,0,4408.0
Ajah,Murtala Muhammed Airport,6.4683,3.6015,6.5774,3.3212,40.06,90.6,moderate,sunny,bolt,14,0,9778.0
Ikoyi,CMS (Marina),6.4541,3.435,6.4549,3.3886,6.59,17.9,moderate,rainy,bolt,13,1,2572.0
Ojota,Murtala Muhammed Airport,6.582,3.388,6.5774,3.3212,10.0,26.0,moderate,sunny,uber,10,0,3028.0
Ikoyi,Ikeja,6.4541,3.435,6.6018,3.3515,23.26,55.4,moderate,cloudy,danfo,7,0,2414.0
Surulere,Yaba,6.4969,3.355,6.5158,3.3892,5.96,16.1,moderate,sunny,uber,6,0,2553.0
Maryland,Berger,6.5783,3.3676,6.642,3.343,10.56,26.1,moderate,rainy,taxi,11,0,3194.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,20.63,58.9,moderate,sunny,keke,6,0,3924.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,40.17,72.8,low,cloudy,taxi,10,1,7485.0
CMS (Marina),Yaba,6.4549,3.3886,6.5158,3.3892,7.94,16.0,low,cloudy,danfo,9,1,763.0
Surulere,Ikeja,6.4969,3.355,6.6018,3.3515,13.93,26.9,low,sunny,bolt,3,1,4007.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,18.16,60.3,heavy,thunderstorm,brt,22,0,1678.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,31.43,69.6,moderate,sunny,uber,11,0,8433.0
Ikeja,Berger,6.6018,3.3515,6.642,3.343,6.44,22.3,heavy,cloudy,taxi,13,0,2691.0
Ojota,Berger,6.582,3.388,6.642,3.343,10.04,22.1,moderate,sunny,brt,4,0,656.0
Yaba,Murtala Muhammed Airport,6.5158,3.3892,6.5774,3.3212,12.45,80.9,gridlock,cloudy,keke,9,0,4130.0
Berger,Ojota,6.642,3.343,6.582,3.388,9.7,30.0,heavy,sunny,danfo,15,0,1504.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,9.2,30.5,heavy,rainy,brt,14,0,893.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,37.41,137.3,heavy,rainy,danfo,18,0,5763.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,27.34,55.5,low,sunny,uber,9,0,6434.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,12.92,34.8,moderate,cloudy,taxi,13,0,3595.0
Yaba,Ojota,6.5158,3.3892,6.582,3.388,9.3,17.3,low,cloudy,bolt,19,0,2348.0
Berger,Oshodi,6.642,3.343,6.5489,3.3286,12.79,48.4,heavy,rainy,keke,7,0,3721.0
Surulere,Ajah,6.4969,3.355,6.4683,3.6015,37.11,219.2,gridlock,cloudy,brt,9,1,4516.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,16.84,29.2,low,cloudy,uber,21,1,4898.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,39.15,108.0,moderate,cloudy,uber,4,1,13765.0
Murtala Muhammed Airport,Ikoyi,6.5774,3.3212,6.4541,3.435,21.69,48.1,moderate,sunny,brt,7,0,1583.0
Ajah,Yaba,6.4683,3.6015,6.5158,3.3892,28.64,197.5,gridlock,cloudy,uber,16,0,19348.0
Ikeja,Murtala Muhammed Airport,6.6018,3.3515,6.5774,3.3212,5.29,13.4,moderate,rainy,bolt,4,0,2379.0
Surulere,Ikoyi,6.4969,3.355,6.4541,3.435,13.47,37.9,moderate,sunny,brt,14,0,897.0
Oshodi,Yaba,6.5489,3.3286,6.5158,3.3892,9.45,32.3,heavy,sunny,taxi,15,0,3793.0
Maryland,CMS (Marina),6.5783,3.3676,6.4549,3.3886,18.12,45.3,moderate,sunny,brt,14,0,1052.0
CMS (Marina),Ikeja,6.4549,3.3886,6.6018,3.3515,21.11,75.6,heavy,sunny,danfo,16,1,3144.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,20.89,54.6,moderate,cloudy,danfo,17,1,2586.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,35.97,119.1,heavy,sunny,bolt,10,0,11097.0
Berger,Surulere,6.642,3.343,6.4969,3.355,20.01,62.5,heavy,sunny,taxi,9,0,6426.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,26.63,101.1,heavy,sunny,keke,7,0,5984.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,9.67,16.4,low,sunny,uber,11,1,2617.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,23.65,86.1,heavy,sunny,uber,17,0,10668.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,39.75,78.7,low,sunny,danfo,15,1,3342.0
